,weight,gain,cover,total_gain,total_cover
lower_return,184.0,0.31085482239723206,15424.1083984375,57.197288513183594,2838036.0
price_position,605.0,0.23931004106998444,7737.396484375,144.78257751464844,4681125.0
upper_return,617.0,0.17853787541389465,5344.82666015625,110.15786743164062,3297758.0
close_vs_high,570.0,0.1538296937942505,10893.0732421875,87.68292236328125,6209052.0
v_band_width_zscore,579.0,0.1457851231098175,3762.19677734375,84.40958404541016,2178312.0
v_price_position,609.0,0.13476361334323883,6317.484375,82.071044921875,3847348.0
amount_sum,409.0,0.1243610680103302,7594.69677734375,50.863677978515625,3106231.0
intraday_ret,492.0,0.12051314115524292,8762.7158203125,59.29246520996094,4311256.0
band_width_zscore,678.0,0.11994479596614838,4659.6044921875,81.32257080078125,3159212.0
band_width_zscore_lag1,479.0,0.11368083208799362,7668.28173828125,54.45311737060547,3673107.0
lower_band,228.0,0.11188235878944397,5736.3291015625,25.509178161621094,1307883.0
close_vs_vwap,615.0,0.11074341833591461,9898.9638671875,68.1072006225586,6087863.0
high_price,48.0,0.10969012975692749,6801.83349609375,5.2651262283325195,326488.0
open_price,92.0,0.10826874524354935,4292.05419921875,9.960724830627441,394869.0
v_band_width_zscore_lag1,412.0,0.10529005527496338,6672.0556640625,43.37950134277344,2748887.0
vwap,43.0,0.10523911565542221,8131.79052734375,4.52528190612793,349667.0
v_price_position_lag1,294.0,0.10373856127262115,8016.95556640625,30.499135971069336,2356985.0
return_afternoon,713.0,0.10348854213953018,8525.9970703125,73.7873306274414,6079036.0
close_price,49.0,0.1030060350894928,4229.7548828125,5.047295570373535,207258.0
rv,420.0,0.102106973528862,7810.13818359375,42.88492965698242,3280258.0
low_price,67.0,0.10175573080778122,8132.11962890625,6.817634105682373,544852.0
band_width_zscore_delta1,464.0,0.10114500671625137,8550.5146484375,46.93128204345703,3967439.0
price_change_rate,301.0,0.10080348700284958,9192.322265625,30.34185028076172,2766889.0
up_moves_ratio,361.0,0.09939058125019073,8966.642578125,35.880001068115234,3236958.0
close_vs_low,435.0,0.09891637414693832,7842.58837890625,43.028621673583984,3411526.0
v_band_width,314.0,0.09588810056447983,12507.671875,30.108863830566406,3927409.0
hl_range,495.0,0.09585917741060257,8028.234375,47.450294494628906,3973976.0
order_imbalance,120.0,0.09471600502729416,5890.591796875,11.365921020507812,706871.0
price_position_delta1,484.0,0.09299102425575256,7699.998046875,45.00765609741211,3726799.0
vol_sum,103.0,0.09014187753200531,8942.931640625,9.284613609313965,921122.0
active_buy_count,248.0,0.08891968429088593,6745.181640625,22.052082061767578,1672805.0
active_sell_count,277.0,0.08879021555185318,9201.5380859375,24.594890594482422,2548826.0
active_buy_vol_ratio_lag1,279.0,0.08783839643001556,8004.34765625,24.506912231445312,2233213.0
return_morning,572.0,0.08724641799926758,7132.77294921875,49.90495300292969,4079946.0
price_position_lag1,457.0,0.08681689947843552,4059.625732421875,39.675323486328125,1855249.0
v_lower_band,426.0,0.08655953407287598,8949.4111328125,36.87436294555664,3812449.0
vol_morning,109.0,0.08596255630254745,6982.96337890625,9.369918823242188,761143.0
active_buy_count_ratio,287.0,0.08370189368724823,3902.372802734375,24.022443771362305,1119981.0
active_buy_vol_ratio,230.0,0.08326004445552826,4025.0087890625,19.149810791015625,925752.0
band_width,492.0,0.08239783346652985,8081.8515625,40.53973388671875,3976271.0
vol_afternoon,153.0,0.081192746758461,10396.4638671875,12.422490119934082,1590659.0
active_sell_vol,84.0,0.08083023875951767,8645.130859375,6.789740085601807,726191.0
num_trades,240.0,0.07949285209178925,10001.716796875,19.078285217285156,2400412.0
avg_trade_size,136.0,0.07918936759233475,4124.154296875,10.769754409790039,560885.0
middle_band,151.0,0.07907966524362564,7092.15234375,11.94102954864502,1070915.0
v_middle_band,175.0,0.07760440558195114,13630.7490234375,13.580770492553711,2385381.0
open_vol_ratio,280.0,0.07696951180696487,3698.66064453125,21.551464080810547,1035625.0
active_buy_vol,77.0,0.07654278725385666,7754.9482421875,5.893794536590576,597131.0
v_band_width_zscore_delta1,422.0,0.07612770795822144,6713.10205078125,32.125892639160156,2832929.0
close_vol_ratio,190.0,0.07588332146406174,9116.7421875,14.417830467224121,1732181.0
v_price_position_delta1,277.0,0.0719434842467308,6117.35400390625,19.9283447265625,1694507.0
v_upper_band,194.0,0.07191356271505356,10090.8662109375,13.951231002807617,1957628.0
median_trade_size,131.0,0.07127413898706436,10579.7021484375,9.336912155151367,1385941.0
active_buy_vol_ratio_delta1,245.0,0.07033035159111023,9048.7548828125,17.23093605041504,2216945.0
upper_band,469.0,0.06770846992731094,2401.07470703125,31.755273818969727,1126104.0
